created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count,coin
2021-11-30 22:20:14 UTC,10-50x LTC that’s awesome,bigcheds,[],[],0,0,1,LTC
2021-11-30 11:57:28 UTC,Bro He’s talking about you. I’m not an $LTC maxi I’m constantly making fun of people who are,bigcheds,[],['ltc'],0,0,0,LTC
2021-11-30 03:11:06 UTC,Not at all. I just am not afraid to say If the chart is bearish. My analysis has always on LTC had been fair and has stood the test of Time,bigcheds,[],[],0,1,2,LTC
2021-11-29 23:52:44 UTC,"$LTC #litecoin 1H still trying to chew through supply -  Note that ""pre tower-top"" look   Break above $211 would suggest some momentum  https://t.co/EXQgfGJK8N",bigcheds,['litecoin'],['ltc'],8,61,7,LTC
2021-11-29 22:30:43 UTC,My man here makes brother  look like an $LTC bear 😂,bigcheds,[],['ltc'],2,199,17,LTC
2021-11-29 22:26:58 UTC,"Folks you heard it here first, $LTC $8,000 per coin  Sounds like a bargain here at $207",bigcheds,[],['ltc'],37,392,122,LTC
2021-11-29 21:10:18 UTC,My $LTC analysis has been as good as anyone on twitter lately why would you attack me. Perhaps you are just mad that I am right,bigcheds,[],['ltc'],0,6,1,LTC
2021-11-29 20:50:22 UTC,Same folks saying 1k $LTC also said to buy it at $290 when I called top so  At what point do you start using your brain,bigcheds,[],['ltc'],0,1,2,LTC
2021-11-29 20:49:24 UTC,Ive been dead right about $LTC for a while would be foolish to ignore my views on it,bigcheds,[],['ltc'],0,1,3,LTC
2021-11-29 20:38:55 UTC,$LTC #Litecoin daily pullback (bearish re-test) of broken support and EMA 8  https://t.co/wg5MhArrhe,bigcheds,['litecoin'],['ltc'],12,146,32,LTC
2021-11-29 16:08:25 UTC,I’m currently short LTc,bigcheds,[],[],0,2,0,LTC
2021-11-29 15:55:35 UTC,$LTC chart looks terrible,bigcheds,[],['ltc'],0,0,1,LTC
2021-11-29 12:26:36 UTC,$LTC sucks dude its so weak. you shouldnt need me to point that out,bigcheds,[],['ltc'],0,1,2,LTC
2021-11-29 11:44:37 UTC,Every single thing in the market had a hammer. LTC still looks like trash,bigcheds,[],[],0,0,2,LTC
2021-11-28 19:17:54 UTC,$LTC looks horrible play something else,bigcheds,[],['ltc'],0,14,2,LTC
2021-11-28 15:39:21 UTC,Re-up on this awesome convo we had on $LTC  https://t.co/rDxLZHd68j,bigcheds,[],['ltc'],3,17,11,LTC
2021-11-28 13:34:22 UTC,"Wrong. Don’t touch LTC because it’s in a downtrend. Buy SOL once it dips, because it’s in an uptrend",bigcheds,[],[],0,0,1,LTC
2021-11-28 04:17:14 UTC,He gonna ride $LTC to $100 and still won’t admit he got it wrong,bigcheds,[],['ltc'],0,1,1,LTC
2021-11-28 03:36:20 UTC,$LTC #Litecoin tags weekly MA 50 $183.50 area,bigcheds,['litecoin'],['ltc'],7,92,8,LTC
