created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-22 14:55:01 UTC,📢 #cz_binance disclosed that #Binance US is set to complete a public offering to raise funds.  #BNB #BinanceUS #BinanceCoin #Crypto #BinanceCoin  https://t.co/6qGeouleQB,bnbswap,"['cz_binance', 'binance', 'bnb', 'binanceus', 'binancecoin', 'crypto', 'binancecoin']",[],12,52,46
2021-11-16 03:34:30 UTC,"📢  has been listed on !  Users can stake their #BNB, $AVAX &amp; #BUSD tokens into separate pools to farm $QI tokens over 30 days! ℹ️ Total Launchpool Supply: 22,000,000 #QI  More details 👇  https://t.co/JyABIuVL9d  #Binance #Binancecoin $BNB #AVAX #Staking  https://t.co/wdPuhqyTR7",bnbswap,"['bnb', 'busd', 'qi', 'binance', 'binancecoin', 'avax', 'staking']","['avax', 'qi', 'bnb']",7,36,57
2021-11-08 16:31:26 UTC,Top 10  Projects By Highest Social Signal 🔥  1  $CAKE 2  $CATE 3 #Binancecoin $BNB 4  $NFTBS 5  $HAM 6  $LZ 7  $NFTB 8  $FEG 9  $BSCS 10  $RISE  #BSC #BNBswap #BSCGem  https://t.co/JUqF83Nx7V,bnbswap,"['binancecoin', 'bsc', 'bnbswap', 'bscgem']","['cake', 'cate', 'bnb', 'nftbs', 'ham', 'lz', 'nftb', 'feg', 'bscs', 'rise']",420,965,843
2021-11-06 08:17:37 UTC,📢  has hired a former  agent to head up its suspicious activity monitoring.  #Binance #BNB #BSC $BNB #Binancecoin #BinanceNFT #CryptoNews  https://t.co/9Eg9QcoGK6,bnbswap,"['binance', 'bnb', 'bsc', 'binancecoin', 'binancenft', 'cryptonews']",['bnb'],7,38,28
2021-10-27 13:33:55 UTC,📢  app now support #BSC   SwissBorg now enabled the #BinanceSmartChain (#BEP20) network for all Binance Coin #BNB transfers.  #Binance #BSCgem $BNB #BSCGems #Altcoin #CHSB  #BinanceCoin  https://t.co/ieMVaAhYGj,bnbswap,"['bsc', 'binancesmartchain', 'bep20', 'bnb', 'binance', 'bscgem', 'bscgems', 'altcoin', 'chsb', 'binancecoin']",['bnb'],150,529,102
2021-10-26 14:40:41 UTC,📢 Top 10  Projects By Highest Social Signal🔥  1  $CAKE 2  $NFTBS 3  $NFTB 4  $HAM 5 #BinanceCoin #BNB 6  $FEG 7  $CATE 8  #HERO 9  $TREES 10  $HERO  #BSC #BSCGems  https://t.co/0ysLspHIIZ,bnbswap,"['binancecoin', 'bnb', 'hero', 'bsc', 'bscgems']","['cake', 'nftbs', 'nftb', 'ham', 'feg', 'cate', 'trees', 'hero']",301,637,569
2021-10-25 16:12:37 UTC,ICYMI: #BinanceSmartChain proposal would see an ongoing burn like Ethereum’s EIP-1559  #Binance #BSC #BNB $BNB #BinanceCoin #BNBburn #BEP95  https://t.co/tKd9yykgHj,bnbswap,"['binancesmartchain', 'binance', 'bsc', 'bnb', 'binancecoin', 'bnbburn', 'bep95']",['bnb'],13,55,38
2021-10-23 06:23:59 UTC,A new #Binance Evolution Protocol plans to introduce a burning mechanism that will reduce the amount of #BNB in order to lower its supply and increase demand.  #BSC #Binance #BinanceSmartChain #BinanceCoin $BNB #BNBswap #BEP95  https://t.co/ZIQ0FkqL6p,bnbswap,"['binance', 'bnb', 'bsc', 'binance', 'binancesmartchain', 'binancecoin', 'bnbswap', 'bep95']",['bnb'],37,119,66
2021-10-22 12:02:57 UTC,"📢  has introduced #BEP95 proposal with a real-time #BNB burning mechanism 🔥🔥  This burning mechanism would further reduce $BNB supply; thus, increasing demand would drive the #BinanceCoin value higher.  More Details 👇  https://t.co/03XF8yzCRE  #BSC #Binance #Bep20  https://t.co/r2nFJWM8jq",bnbswap,"['bep95', 'bnb', 'binancecoin', 'bsc', 'binance', 'bep20']",['bnb'],23,87,65
2021-10-18 15:10:11 UTC,"📢  Completes 17th Quarterly #BNB Burn 🔥🔥🔥  ✅ $639 Million USD ( 1,335,888 #BNB) has been burned! 🔥🔥   ✅ Tx Link:  https://t.co/giLYpkBF8S  ➡️  https://t.co/4wDOU4oDSf  #Binance $BNB #BNBBurn #BSC #BinanceSmartChain #BinanceCoin #bnbusdt  https://t.co/D3vYLquYww",bnbswap,"['bnb', 'bnb', 'binance', 'bnbburn', 'bsc', 'binancesmartchain', 'binancecoin', 'bnbusdt']",['bnb'],22,80,60
2021-10-04 14:04:03 UTC,TOP #BinanceSmartChain Projects With Highest BULLISH Sentiment 🔥  1  $CAKE 2  $LZ 3 #BinanceCoin #BNB 4  (#100X) $ALTB 5  $MATH 6  $ZARD 7  $FEG 8  $BSCS 9  $HERO 10  $LEOS  https://t.co/CnGv4jR2D8,bnbswap,"['binancesmartchain', 'binancecoin', 'bnb', '100x']","['cake', 'lz', 'altb', 'math', 'zard', 'feg', 'bscs', 'hero', 'leos']",325,451,176
