hashtags,username,language,created_at,tweet,retweets_count,cashtags,id,replies_count,name,likes_count
['litecoin'],litecoin,en,2021-11-30 15:15:18 UTC,"WisdomTree adds #Litecoin to two new ETP exchange-traded products to its lineup in Europe tracking the spot price of digital assets. The ETPs are listed on SIX, the Swiss stock exchange and Börse Xetra in Germany and can be sold across the European Union.   https://t.co/itIzDY8Gcl",156,[],1465700974551453697,256,Litecoin,549
['litecoin'],litecoin,en,2021-11-29 19:42:06 UTC,Regal Cinemas and AMC Theaters accepting #Litecoin $LTC   https://t.co/KUkp5givJ9,281,['ltc'],1465405729922240514,273,Litecoin,1164
"['litecoin', 'thanksgiving']",litecoin,en,2021-11-24 18:05:34 UTC,Need to explain #Litecoin at #Thanksgiving?  https://t.co/ysZFqfEka6,73,[],1463569498250821639,215,Litecoin,358
"['litecoin', 'crypto']",litecoin,en,2021-11-24 06:07:06 UTC,MidChains is the only Emirati founded virtual asset exchange in the UAE launching #Litecoin and #crypto trading. $LTC,98,['ltc'],1463388688314896387,62,Litecoin,465
['litecoin'],litecoin,en,2021-11-23 21:58:58 UTC,"The 2nd largest US theater chain Regal Cinemas with accept #Litecoin!   500 locations, 7,000 screens in 42 states across the country in partnership with @FlexaHQ   https://t.co/UEB7wEkRkX",328,[],1463265847024046083,184,Litecoin,1426
"['litecoin', 'paywithlitecoin']",litecoin,en,2021-11-23 02:29:12 UTC,Litecoin is accepted anywhere VISA is.. the #Litecoin Card converts $LTC at the time of purchase. You can also connect the card with the @Litewallet_App #PaywithLitecoin    https://t.co/EKezeYIdka  https://t.co/LqbuhS9umb,291,['ltc'],1462971465314279425,125,Litecoin,1455
"['litecoin', 'paywithlitecoin', 'blackfriday']",litecoin,en,2021-11-21 17:59:44 UTC,Black Friday deals @Newegg are now live and.. the good news... you can pay it for anything you want with #Litecoin!   Shop now with @BitPay:  https://t.co/mul8Lw6wss #paywithlitecoin $LTC #BlackFriday  https://t.co/qVkK5WXyWL,115,['ltc'],1462480865552842753,95,Litecoin,544
"['litecoin', 'crypto', 'estonia', 'crypto']",litecoin,en,2021-11-21 05:45:52 UTC,"The first bank in Estonia, LHV, the countries largest domestic financial group and capital provider announces trading in #Litecoin and investing directly in #crypto assets!   Learn more at:  https://t.co/ZLblam6VSN #Estonia $LTC #Crypto  https://t.co/qAuBQxJcBZ",270,['ltc'],1462296179929075713,170,Litecoin,1123
"['mweb', 'boom', 'litecoin']",litecoin,en,2021-11-20 17:04:26 UTC,"That last word after explaining #MWEB to a friend.. #BOOM   MWEB is set to be the largest upgrade to the #Litecoin network ever, promising to provide fungibility for all, while improving $LTC's scalability.    https://t.co/ibUhOmrKmS  https://t.co/IyuLtM0BNF",131,['ltc'],1462104560214757377,62,Litecoin,540
"['blackfriday', 'litecoin', 'paywithlitecoin']",litecoin,en,2021-11-20 06:49:07 UTC,Looking for #Blackfriday deals? Our friends at @BitPay have a list of Merchants Deals for #Litecoin users to #PayWithLitecoin    https://t.co/A4ofiWihsK,69,[],1461949709765918721,60,Litecoin,316
['litecoin'],litecoin,en,2021-11-19 02:32:06 UTC,'3 Reasons to Buy #Litecoin'    https://t.co/4R0r0ekSWI,126,[],1461522643610259456,236,Litecoin,563
"['litecoin', 'paywithlitecoin', 'paypal']",litecoin,en,2021-11-18 19:49:42 UTC,"Did you know: #Litecoin users have access to millions of @Paypal merchants! Buy, sell, hodl or #PaywithLitecoin on #Paypal.",120,[],1461421374858268680,53,Litecoin,504
['litecoin'],litecoin,en,2021-11-18 17:28:57 UTC,Did you know you can build your own token on the #Litecoin network?   Create and manage tokens on top of the Litecoin Network.. Endless possibilities:  https://t.co/SL8yUc81ti  https://t.co/TZgF9IOssI,145,[],1461385955714256897,73,Litecoin,571
"['litecoin', 'litecoinfams', 'paywithlitecoin', 'humpday']",litecoin,en,2021-11-17 17:28:25 UTC,Tune in to the @LTCUnderground weekly Twitter Spaces tonight at 9pm EST / 6pm PST   $LTC #Litecoin #LitecoinFAMs/ #paywithlitecoin #HumpDay  https://t.co/GcY5y70T4K,54,['ltc'],1461023433299353601,71,Litecoin,267
['litecoin'],litecoin,en,2021-11-17 06:50:46 UTC,"ICYMI: Watch ""Litecoin: Is LTC Seriously Underrated? My Take!! 🧐""   #Litecoin $LTC  https://t.co/wd6Ud1I6ch",49,['ltc'],1460862962600583168,51,Litecoin,314
